NI07_grouped_pd	NI07_grouped_pr	NI07_naive
GPR87	3.38045058974145	0	0
KYNU	1.99943888568656	0	0
LY6K	2.05473358499692	0	0
UBD	3.88470501697869	0	0
FHL2	1.86993253393532	0	0
IGFBP3	2.89620048964064	0	0
DKK1	4.14473108706588	0	0
ARNTL2	2.19941485165083	0	0
CRABP2	2.40155140998008	0	0
FAM83A	1.84375443358909	0	0
GJB3	2.36110839310016	0	0
RGS10	2.5863379218097	0	0
IDO1	2.28065694264808	0	0
COMTD1	1.1147849043205	0	0
CBLC	1.51847931594189	0	0
UCK2	1.97118671324464	0	0
GJB2	2.65805018490504	0	0
PLAU	1.22369959092849	0	0
PROM2	1.01430788978299	0	0
GPC1	1.16098794438564	0	0
NCCRP1	3.74911436368691	0	0
ALOX5	4.72514521863299	0	0
TSKU	1.09517118960865	0	0
MDFI	1.11019412460471	0	0
TK1	1.78859126684738	0	0
SERPINE1	1.89280462901364	0	0
TUBB6	1.90676154657992	0	0
PLIN2	1.86662862559254	0	0
AVPI1	1.96002300943621	0	0
CSF2RA	2.76601153337991	0	0
CAMK2N1	1.67012592501671	0	0
NCK1	1.47871820589382	0	0
LY6D	4.05493873042131	0	0
MARCH5	1.34496169587521	0	0
KRT15	2.46946198126285	0	0
SAMD9	1.69167732092341	0	0
GATA3	1.77951878658457	0	0
SDCBP2	1.63359704239667	0	0
PLAUR	1.12969320633501	0	0
S100A9	1.07490633081784	0	0
CASP1	1.54285534270826	0	0
ABRACL	1.21174151632446	0	0
PHLDA3	1.17570563725306	0	0
PYCARD	1.39715148704879	0	0
GCLC	1.86539910413986	0	0
BAK1	1.19381912532285	0	0
TRIM29	1.00826409530041	0	0
LYPD3	3.63845245258545	0	0
LAD1	1.23801939000248	0	0
DGKA	1.89172656104233	0	0
LYPD5	2.66408605076762	0	0
TRIM16L	1.88155361858788	0	0
FBLN1	1.13909381278292	0	0
SLCO4A1	2.87592187801592	0	0
GSR	1.22433841604781	0	0
C10orf54	1.04574437617499	0	0
KCNK6	1.76454128964317	0	0
PRAME	3.60748954358564	0	0
KIAA0226	1.13471880630495	0	0
DAPP1	1.07984004488711	0	0
GNAI1	1.69440861513193	0	0
FXYD5	1.54969378813119	0	0
SYK	1.11959067800625	0	0
RTP4	1.28886418693497	0	0
AGFG1	1.43688522391811	0	0
CT83	1.87348276610355	0	0
IGF2BP3	1.31485069822217	0	0
RHOV	1.5569431938358	0	0
KCTD3	1.81906111360648	0	0
HMGA1	1.40916215668598	0	0
CYP3A5	2.83366965116304	0	0
TAP2	1.10949262767157	0	0
RHBDL2	1.26137189674673	0	0
B4GALT4	1.33065007906659	0	0
GSDMB	1.14194118141718	0	0
C3orf52	1.69493854309104	0	0
BIRC3	1.80449574049405	0	0
LAMB3	1.41481854032136	0	0
VTRNA1-2	1.66945812606289	0	0
TRIM31	2.27738243310092	0	0
GMPS	1.06902205738742	0	0
CAPG	1.87815794178819	0	0
BID	1.33704155311396	0	0
SMAGP	1.0584936519967	0	0
CD68	1.43799846635757	0	0
FUOM	1.02457295400177	0	0
ST3GAL4	1.84113429880898	0	0
AK4	1.30800955451367	0	0
IRF5	1.17427201779578	0	0
GPX8	1.77515367493061	0	0
GYG1	1.28289105035268	0	0
G6PD	1.38740051733111	0	0
PDLIM5	1.2056306093248	0	0
ZNF185	1.29271520322653	0	0
PTGES	2.04644767857852	0	0
TRIM16	1.3490566331183	0	0
SECTM1	1.01658384379189	0	0
NIPAL2	1.41205348548732	0	0
RHBDF2	1.19308179882465	0	0
KCMF1	1.05680357339512	0	0
ENOPH1	1.07330964681188	0	0
AP3S1	1.09489232263166	0	0
HCP5	1.16075856951996	0	0
CCDC109B	1.04795039031954	0	0
TRAF2	1.29733273950841	0	0
XPNPEP1	1.28717561054533	0	0
EXT1	1.34935661403235	0	0
F2RL1	1.86726835818773	0	0
ARHGAP10	1.18080767618998	0	0
PGM2	1.82154744151315	0	0
SSH3	1.00871292380842	0	0
RALB	1.18907884323756	0	0
KRT16	2.50524505041119	0	0
APEX2	1.11225994593663	0	0
TMEM206	1.24439413579301	0	0
CKMT1B	1.4151946393861	0	0
PYGL	1.32843691626082	0	0
MAN2A1	1.41642476973699	0	0
SLC9A7	1.35093759945236	0	0
SLC25A43	1.2491452670004	0	0
IKBKE	1.46890679249861	0	0
RIPK2	1.1633019529607	0	0
GALNT5	1.23675993110128	0	0
CASP7	1.3906626433687	0	0
ASS1	2.26265253853472	0	0
PJA1	1.33688143372473	0	0
DIRC2	1.33325741451991	0	0
GIT2	1.18222795137893	0	0
ADAM9	1.45621276234278	0	0
BLNK	1.40623326644592	0	0
TMC8	1.14180750970174	0	0
TAP1	1.80320569882123	0	0
RND3	1.25529157580309	0	0
CDCP1	1.3117916789088	0	0
GALNT7	1.46788748409671	0	0
OPN3	1.57956571210723	0	0
ACSL1	1.12517301013995	0	0
PLOD2	1.06852121417808	0	0
NPNT	1.23723424613875	0	0
C16orf74	1.74395422253401	0	0
NOTCH2NL	1.04228619198482	0	0
NUP54	1.05629710104049	0	0
PLEKHA1	1.2281208195982	0	0
MFI2	1.4569199607999	0	0
GM2A	1.04230891138724	0	0
ZDHHC13	1.06825659832106	0	0
TSPAN14	1.09553206521235	0	0
SNCG	1.68419050151464	0	0
GALNT12	2.96496857434696	0	0
YES1	1.06479834828879	0	0
SLC16A3	1.17426955221173	0	0
CMPK2	1.01854960413024	0	0
RAP2B	1.90615755944427	0	0
ACOT4	1.0343269734058	0	0
AIM1L	2.01672382416597	0	0
SPECC1	1.1314651324061	0	0
LOC401585	1.84166667857301	0	0
IL18	1.22219129035883	0	0
TINAGL1	1.02836527555193	0	0
HTATIP2	1.39229910532998	0	0
TNFSF13B	1.66946445240624	0	0
HPS6	1.03081872106652	0	0
TINCR	1.25501756779719	0	0
NADSYN1	1.03066880033931	0	0
PKP2	1.31877294663676	0	0
HPS5	1.0458074843201	0	0
PLEKHF2	1.09359005972451	0	0
PFKP	2.43155276451975	0	0
