© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Unfolded protein response	9.74E00	2.86E-01	NaN	DDIT3,ERN1,HSPH1,HSPA1A/HSPA1B,HSPA9,HSPA6,CEBPZ,CEBPB,HSPA5,SEL1L,HSPA8,HSPA4,EDEM1,PPP1R15A,VCP,NFE2L2
Th1 Pathway	7.23E00	1.53E-01	-1.604	SOCS1,SOCS3,PRKCQ,NFATC3,KLRD1,HAVCR2,PIK3R1,IL6R,IL12RB2,STAT3,TBX21,NFKB1,STAT4,ITGB2,NFIL3,PIK3CG,ICOS,IL10RA,IL10RB,HLA-DQA2,IFNAR1
PI3K/AKT Signaling	7E00	1.55E-01	-0.943	RAP2B,RAP1B,RELA,PPP2CA,PPP2R2A,PIK3R1,SOS2,YWHAZ,MDM2,NFKB1,PPP2R5A,PTEN,YWHAQ,SHC1,FOXO1,PIK3CG,MAP3K8,CTNNB1,MAP2K1,MCL1
Huntington's Disease Signaling	6.86E00	1.15E-01	-1.387	POLR2D,VTI1A,PIK3R1,HSPA1A/HSPA1B,SOS2,HSPA6,NAPG,HSPA5,EP300,HSPA4,SHC1,PIK3CG,VAMP3,DNAJB1,RASA1,POLR2J2/POLR2J3,SDHA,PRKCQ,CASP3,HSPA9,RCOR1,ITPR1,HSPA8,PSME4,STX16,CAPN2,PRKCH,CAPN7,PRKCB
Th1 and Th2 Activation Pathway	6.66E00	1.28E-01	NaN	SOCS1,SOCS3,PRKCQ,NFATC3,KLRD1,HAVCR2,PIK3R1,IL6R,IL12RB2,STAT3,TBX21,NFKB1,STAT4,ITGB2,NFIL3,PIK3CG,ICOS,GFI1,IL10RA,CXCR6,IL10RB,IL2RA,HLA-DQA2,IFNAR1
Prolactin Signaling	6.49E00	1.76E-01	-2.138	RAP2B,RAP1B,SOCS1,SOCS3,FYN,PRKCQ,PIK3R1,SOS2,STAT3,CEBPB,EP300,SHC1,PIK3CG,PRKCH,MAP2K1,PRKCB
ERK/MAPK Signaling	6.48E00	1.22E-01	-1.460	RAP2B,RAP1B,FYN,PPP2CA,PPP2R2A,PIK3R1,SOS2,PPP1CB,CRK,DUSP2,BRAF,YWHAQ,SHC1,PIK3CG,MAP2K1,ETS1,CRKL,YWHAZ,STAT3,MKNK2,PPP2R5A,DUSP1,PRKAG2,PRKCB,PRKAR1A
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	6.42E00	1.74E-01	-3.000	ACTR2,FYN,PRKCQ,PIK3R1,CRK,NCK1,PTEN,NCK2,ARF6,ACTR3,PIK3CG,VAV3,EZR,VAMP3,PRKCH,PRKCB
B Cell Receptor Signaling	6.36E00	1.24E-01	-2.858	ETS1,RAP2B,RAP1B,RELA,CAMK4,PRKCQ,NFATC3,PIK3R1,SOS2,ABL1,NFKB1,PTEN,SHC1,DAPP1,FOXO1,PIK3CG,PPP3R1,VAV3,MAP3K7,MAP3K8,RASSF5,MAP2K1,MAP3K2,PRKCB
T Cell Receptor Signaling	6.31E00	1.54E-01	NaN	RAP2B,RAP1B,FYN,RELA,CAMK4,PRKCQ,NFATC3,PIK3R1,SOS2,NFKB1,CTLA4,LCK,PIK3CG,PPP3R1,VAV3,MAP2K1,RASA1,ITK
T Cell Exhaustion Signaling Pathway	6.29E00	1.26E-01	-2.400	RAP2B,RAP1B,IRF4,PRKCQ,PPP2CA,NFATC3,PPP2R2A,HAVCR2,PIK3R1,IL6R,LAG3,IRF9,IL12RB2,STAT3,TBX21,CTLA4,PPP2R5A,STAT4,FOXO1,PIK3CG,IL10RA,IL10RB,IFNAR1
Glucocorticoid Receptor Signaling	6.24E00	9.8E-02	NaN	RAP2B,RAP1B,RELA,POLR2D,NFATC3,PIK3R1,SOS2,HSPA1A/HSPA1B,HSPA6,ARID2,NFKB1,HSPA5,PTGES3,TSC22D3,EP300,SHC1,HSPA4,NCOA2,PPP3R1,PIK3CG,MAP3K7,SMAD4,FKBP5,MAP2K1,POLR2J2/POLR2J3,CCNH,HSPA9,STAT3,CEBPB,NCOA3,HSPA8,TRAF6,DUSP1,PRKAG2
Sumoylation Pathway	6.16E00	1.67E-01	1.897	ETS1,RANBP2,RCOR1,MDM2,ZEB1,NFKB1,RHOH,SP100,EP300,CTBP1,SP3,RANGAP1,SMAD4,CBX4,ZNF217,ISG20
PI3K Signaling in B Lymphocytes	6.02E00	1.41E-01	-3.300	RAP2B,RAP1B,FYN,RELA,CAMK4,NFATC3,PIK3R1,ABL1,ITPR1,NFKB1,PTEN,DAPP1,PIK3CG,PPP3R1,VAV3,ATF6B,PLEKHA1,MAP2K1,PRKCB
IL-6 Signaling	5.97E00	1.4E-01	-2.982	RAP2B,RAP1B,IL6ST,SOCS1,RELA,SOCS3,PIK3R1,IL6R,SOS2,CEBPB,STAT3,NFKB1,IL18RAP,TRAF6,SHC1,PIK3CG,MAP3K7,MAP2K1,MCL1
Erythropoietin Signaling	5.94E00	1.7E-01	NaN	RAP1B,RAP2B,SHC1,SOCS1,RELA,SOCS3,PRKCQ,EPOR,PIK3CG,PIK3R1,SOS2,PRKCH,NFKB1,MAP2K1,PRKCB
Integrin Signaling	5.86E00	1.13E-01	-3.128	RAP1B,RAP2B,FYN,PIK3R1,SOS2,ABL1,PPP1CB,CRK,NCK1,RHOH,PTEN,ITGAE,BRAF,NCK2,SHC1,ARF6,ACTR3,PIK3CG,MAP2K1,ACTR2,CRKL,ITGB2,CAPN2,CAPN7,NEDD9
Molecular Mechanisms of Cancer	5.84E00	9.14E-02	NaN	RAP2B,RAP1B,FYN,RELA,PIK3R1,SOS2,CDK16,ABL1,CRK,ARHGEF1,HIF1A,NFKB1,RHOH,EP300,BRAF,SHC1,PIK3CG,MAP3K7,SMAD4,ARHGEF3,CTNNB1,RASA1,MAP2K1,PMAIP1,PRKCQ,CASP3,MDM2,NF1,FOXO1,PRKAG2,PRKCH,LEF1,CFLAR,BCL2L11,PRKCB,PRKAR1A
Androgen Signaling	5.34E00	1.32E-01	-3.051	POLR2J2/POLR2J3,RELA,CCNH,KAT7,POLR2D,CAMK4,PRKCQ,NFKB1,EP300,NCOA4,SHC1,HSPA4,NCOA2,PRKAG2,PRKCH,DNAJB1,PRKAR1A,PRKCB
Cancer Drug Resistance By Drug Efflux	5.21E00	2E-01	NaN	BRAF,RAP1B,RAP2B,FOXO1,PIK3R1,ABCC1,PIK3CG,MDM2,NFKB1,MAP2K1,PTEN
IGF-1 Signaling	5.2E00	1.42E-01	-1.387	RAP2B,RAP1B,SOCS3,SOCS1,PIK3R1,SOS2,YWHAZ,STAT3,YWHAQ,SHC1,FOXO1,PIK3CG,PRKAG2,RASA1,MAP2K1,PRKAR1A
JAK/Stat Signaling	5.05E00	1.54E-01	-2.138	RAP2B,RAP1B,SOCS3,RELA,SOCS1,PIK3R1,SOS2,STAT3,CEBPB,NFKB1,STAT4,SHC1,PIK3CG,MAP2K1
Th17 Activation Pathway	5.05E00	1.54E-01	-2.673	SOCS3,RELA,IRF4,NFATC3,IL21R,IL6R,FOXP3,IL12RB2,STAT3,HIF1A,NFKB1,STAT4,TRAF6,PTGER4
Natural Killer Cell Signaling	5.01E00	1.31E-01	NaN	RAP2B,RAP1B,FYN,PRKCQ,KLRD1,PIK3R1,SOS2,NCK1,SHC1,LCK,KLRC2,PIK3CG,VAV3,KLRC3,PRKCH,MAP2K1,PRKCB
NRF2-mediated Oxidative Stress Response	4.97E00	1.09E-01	-4.000	RAP2B,RAP1B,PRKCQ,DNAJB4,PIK3R1,DNAJA4,HERPUD1,MAFF,EP300,PIK3CG,STIP1,ABCC1,VCP,MAP3K7,JUND,PRKCH,SQSTM1,DNAJB1,FKBP5,MAP2K1,NFE2L2,PRKCB
Aldosterone Signaling in Epithelial Cells	4.92E00	1.15E-01	-2.333	PRKCQ,DNAJB4,HSPH1,PIK3R1,HSPA9,HSPA1A/HSPA1B,SOS2,HSPA6,ITPR1,HSPD1,HSPA5,HSPA8,HSPA4,DUSP1,PIK3CG,PRKCH,DNAJB1,MAP2K1,PIP4K2C,PRKCB
Telomerase Signaling	4.91E00	1.34E-01	-0.832	RAP1B,RAP2B,ETS1,PPP2CA,PPP2R2A,PIK3R1,TERF2IP,SOS2,ABL1,PPP2R5A,PTGES3,SHC1,PIK3CG,TPP1,IL2RA,MAP2K1
Protein Kinase A Signaling	4.9E00	8.52E-02	-2.502	RAP1B,RELA,CAMK4,PDE7A,NFATC3,UBASH3B,PPP1CB,NFKB1,DUSP2,PTEN,AKAP11,BRAF,YWHAQ,PTPN4,PDE3B,PPP3R1,DUSP10,SMAD4,PDE4D,CTNNB1,MAP2K1,AKAP5,PRKCQ,YWHAZ,PDE4B,ITPR1,PTP4A1,AKAP13,DUSP1,PRKAG2,PRKCH,LEF1,PRKCB,PRKAR1A
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	4.87E00	2.04E-01	0.333	YWHAQ,TOP2B,GADD45A,CUL1,ABL1,YWHAZ,FBXL5,MDM2,PPM1D,EP300
Insulin Receptor Signaling	4.87E00	1.22E-01	-0.943	RAP2B,RAP1B,FYN,SOCS3,PIK3R1,CRKL,SOS2,PPP1CB,CRK,NCK1,PTEN,SHC1,FOXO1,PDE3B,PIK3CG,PRKAG2,MAP2K1,PRKAR1A
Protein Ubiquitination Pathway	4.76E00	9.59E-02	NaN	USP18,USP15,DNAJB4,HSPH1,USP9X,HSPA9,CUL1,USP11,HSPA1A/HSPA1B,HSPA6,UBE2Z,FBXW7,MDM2,HSPD1,HSPA5,TAP1,HSPA8,TRAF6,USP3,HSPA4,UBE2H,USP4,UBR1,UBE2V1,DNAJB1,UBE2J2
T Helper Cell Differentiation	4.71E00	1.64E-01	NaN	STAT4,IL6ST,IL21R,ICOS,IL6R,IL10RB,IL10RA,FOXP3,IL12RB2,IL2RA,STAT3,TBX21
PDGF Signaling	4.67E00	1.43E-01	-2.673	RAP2B,RAP1B,CRKL,PIK3R1,SOS2,ABL1,CRK,STAT3,SHC1,PIK3CG,EIF2AK2,RASA1,MAP2K1,PRKCB
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	4.65E00	1.51E-01	NaN	RAP2B,RAP1B,FYN,RELA,CAMK4,NFATC3,PPP3R1,VAV3,SOS2,SMAD4,TOB1,NFKB1,MAP2K1
Breast Cancer Regulation by Stathmin1	4.64E00	1.04E-01	NaN	RAP2B,RAP1B,CAMK4,PRKCQ,PPP2CA,PPP2R2A,PIK3R1,SOS2,PPP1CB,ARHGEF1,LIMK2,ITPR1,PPP2R5A,SHC1,PIK3CG,PRKAG2,UHMK1,PRKCH,ARHGEF3,MAP2K1,PRKAR1A,PRKCB
iCOS-iCOSL Signaling in T Helper Cells	4.63E00	1.28E-01	-2.673	RELA,PRKCQ,CAMK4,NFATC3,PIK3R1,ITPR1,NFKB1,PTEN,SHC1,LCK,PIK3CG,PPP3R1,ICOS,IL2RA,PLEKHA1,ITK
SAPK/JNK Signaling	4.62E00	1.34E-01	-1.807	RAP2B,RAP1B,NFATC3,CRKL,PIK3R1,SOS2,CRK,HNRNPK,SHC1,LCK,GADD45A,PIK3CG,DUSP10,MAP3K7,MAP3K2
Chronic Myeloid Leukemia Signaling	4.57E00	1.33E-01	NaN	RAP2B,RAP1B,RELA,RBL2,CRKL,PIK3R1,SOS2,ABL1,CRK,MDM2,NFKB1,CTBP1,PIK3CG,SMAD4,MAP2K1
fMLP Signaling in Neutrophils	4.46E00	1.24E-01	-3.500	RAP2B,RAP1B,ACTR2,RELA,PRKCQ,CAMK4,NFATC3,PIK3R1,ITPR1,NFKB1,ACTR3,PPP3R1,PIK3CG,PRKCH,MAP2K1,PRKCB
G-Protein Coupled Receptor Signaling	4.44E00	9.19E-02	NaN	RAP1B,RAP2B,RELA,FYN,CAMK4,PDE7A,PIK3R1,SOS2,NFKB1,BRAF,SHC1,PDE3B,PIK3CG,PDE4D,RASA1,MAP2K1,PTGER4,RGS2,PDE4B,STAT3,DUSP1,PRKAG2,MAP3K8,ADORA2A,PRKAR1A,PRKCB
IL-3 Signaling	4.43E00	1.44E-01	-2.496	RAP1B,RAP2B,SHC1,PRKCQ,FOXO1,CRKL,PIK3R1,PIK3CG,PPP3R1,PRKCH,STAT3,MAP2K1,PRKCB
Prostate Cancer Signaling	4.42E00	1.36E-01	NaN	RAP2B,RAP1B,RELA,PIK3R1,SOS2,ABL1,MDM2,NFKB1,PTEN,FOXO1,PIK3CG,LEF1,CTNNB1,MAP2K1
Renin-Angiotensin Signaling	4.42E00	1.23E-01	-3.357	RAP2B,RAP1B,RELA,PRKCQ,PIK3R1,SOS2,ITPR1,STAT3,NFKB1,SHC1,PIK3CG,PRKAG2,PRKCH,MAP2K1,PRKCB,PRKAR1A
Interferon Signaling	4.28E00	2.22E-01	-1.134	SOCS1,RELA,OAS1,MX1,IFI6,IRF9,TAP1,IFNAR1
Neuregulin Signaling	4.28E00	1.4E-01	-2.530	RAP2B,RAP1B,PRKCQ,ERBIN,PIK3R1,CRKL,SOS2,CRK,PTEN,SHC1,PRKCH,MAP2K1,PRKCB
CD28 Signaling in T Helper Cells	4.26E00	1.19E-01	-3.500	ACTR2,RELA,FYN,PRKCQ,CAMK4,NFATC3,PIK3R1,ITPR1,NFKB1,CTLA4,LCK,ACTR3,PIK3CG,PPP3R1,MAP2K1,ITK
