© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
EIF2 Signaling	9.95E01	3.19E-01	-6.481	RPL11,RPL22,RPS27,RPS23,RPLP2,RPL39,RPL35A,RPS11,RPS7,EIF1,RPL13,RPS20,RPS13,RPL23A,RPL19,RPL21,RPL36,EIF1AY,RPL32,RPS8,RPL29,RPL12,RPL37A,RPL28,RPL10A,RPL9,RPL15,RPS6,RPS25,RPS15A,RPL6,RPL41,RPL13A,RPSA,RPL24,RPLP1,RPL36A,RPS3A,RPS18,RPL26,RPL7A,RPS4X,RPL7,RPS28,RPL27A,RPL14,RPL35,RPL18A,UBA52,RPS9,RPS5,RPS12,RPS3,RPL31,RPL18,RPS24,RPS19,RPL34,RPL30,RPS10,RPS21,RPS29,FAU,RPL27,RPS15,RPS16,RPS26,RPS27A,RPL5,RPL37,RPLP0,RPL38,RPS14
Regulation of eIF4 and p70S6K Signaling	3.45E01	1.94E-01	NaN	RPS3A,RPS27,RPS18,RPS23,RPS11,RPS4X,RPS7,RPS28,EIF1,RPS20,RPS13,RPS9,RPS5,RPS12,RPS3,EIF1AY,RPS24,RPS19,RPS8,RPS10,RPS21,RPS29,FAU,RPS6,RPS15,RPS16,RPS26,RPS27A,RPS25,RPS15A,RPSA,RPS14
mTOR Signaling	2.82E01	1.44E-01	NaN	RPS3A,RPS27,RPS18,RPS23,RPS11,RPS4X,RPS7,RPS28,RPS20,RPS13,RPS9,RPS5,RPS12,RPS3,RPS24,RPS19,RPS8,RPS10,RPS21,RPS29,FAU,RPS6,RPS15,RPS16,RPS26,RPS27A,RPS25,RPS15A,RPSA,RPS14
Protein Ubiquitination Pathway	5.65E00	4.43E-02	NaN	B2M,IFNG,HSP90B1,PSME1,UBA52,HLA-B,PSME2,RPS27A,ELOB,UBE2S,BRCA1,DNAJA1
Oxidative Phosphorylation	5.53E00	7.34E-02	-2.828	ATP5PF,ATP5MC2,COX6B1,COX7C,ATP5MG,UQCR11,ATP5F1E,NDUFB2
Antigen Presentation Pathway	4.88E00	1.32E-01	NaN	HLA-G,B2M,IFNG,HLA-B,TAPBP
Mitochondrial Dysfunction	4.11E00	4.68E-02	NaN	ATP5PF,ATP5MC2,COX6B1,COX7C,ATP5MG,UQCR11,ATP5F1E,NDUFB2
Graft-versus-Host Disease Signaling	3.22E00	8.33E-02	NaN	HLA-G,IFNG,HLA-B,TNF
Allograft Rejection Signaling	3.18E00	5.81E-02	NaN	HLA-G,B2M,IFNG,HLA-B,TNF
Communication between Innate and Adaptive Immune Cells	2.96E00	5.21E-02	NaN	HLA-G,B2M,IFNG,HLA-B,TNF
