© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Oxidative Phosphorylation	4.13E01	5.14E-01	-6.949	NDUFA9,NDUFB5,COX8A,ATP5MG,NDUFB8,NDUFA1,NDUFB3,NDUFB10,UQCRFS1,ATP5MC3,NDUFA8,ATP5PF,ATP5PO,COX7C,UQCR11,NDUFB1,NDUFS5,ATP5F1C,NDUFA6,NDUFB7,NDUFA12,NDUFS3,NDUFB2,NDUFA4,COX7B,SDHB,ATP5MC1,ATP5PD,NDUFA7,COX6A1,UQCRH,COX6C,COX5B,ATP5F1E,NDUFA2,NDUFB9,ATP5MF,NDUFB6,NDUFAB1,ATP5ME,COX4I1,NDUFS4,NDUFB4,COX17,COX6B1,NDUFV3,NDUFA13,NDUFS8,NDUFV2,NDUFA11,UQCR10,CYC1,COX7A2,COX5A,CYB5A,UQCRQ
Mitochondrial Dysfunction	3.66E01	3.74E-01	NaN	NDUFA9,NDUFB5,COX8A,ATP5MG,NDUFB8,NDUFA1,NDUFB3,NDUFB10,UQCRFS1,ATP5MC3,NDUFA8,ATP5PF,ATP5PO,COX7C,UQCR11,NDUFB1,NDUFS5,ATP5F1C,NDUFA6,TXN2,NDUFB7,NDUFA12,NDUFS3,NDUFB2,NDUFA4,HSD17B10,COX7B,SDHB,ATP5MC1,ATP5PD,NDUFA7,PSENEN,COX6A1,COX6C,UQCRH,COX5B,ATP5F1E,NDUFA2,NDUFB9,PARK7,ATP5MF,NDUFB6,ACO1,NDUFAB1,ATP5ME,COX4I1,NDUFS4,NDUFAF1,COX6B1,COX17,NDUFB4,GLRX2,NDUFV3,NDUFA13,NDUFS8,NDUFV2,NDUFA11,UQCR10,CYC1,COX7A2,COX5A,CYB5A,UQCRQ,MAOA
Sirtuin Signaling Pathway	1.63E01	1.92E-01	3.124	TIMM13,POLR2F,NDUFA9,NDUFB5,TIMM50,NDUFB8,NDUFA1,LDHB,NDUFB3,NDUFB10,TOMM7,UQCRFS1,APEX1,NDUFA8,ATP5PF,ATG12,NR1H3,TIMM8B,NDUFB1,TIMM17A,NDUFS5,ATP5F1C,NDUFA6,NDUFB7,NDUFA12,NDUFS3,NDUFB2,XRCC5,NDUFA4,SDHB,ATP5MC1,NDUFA7,TIMM10,PAM16,ATP5F1E,NDUFA2,NDUFB9,NDUFB6,NDUFAB1,NDUFS4,NDUFAF1,NDUFB4,NDUFV3,BAX,XPA,NDUFA13,HIST1H1E,NDUFS8,NDUFV2,TOMM6,NDUFA11,CYC1,TSPO,TP53BP1,GABARAP,TOMM5
Antigen Presentation Pathway	1.17E01	4.47E-01	NaN	B2M,PSMB9,HLA-DOA,PSMB5,HLA-DQA1,PSMB8,HLA-DQB1,PSMB6,TAP1,NLRC5,HLA-DRB1,HLA-DQB2,HLA-DMA,HLA-DRA,HLA-DMB,HLA-F,HLA-DPB1
Protein Ubiquitination Pathway	8.05E00	1.47E-01	NaN	PSMB3,B2M,PSMD7,PSMA7,PSMB10,PSMD9,ANAPC10,CDC23,DNAJC15,PSMB8,ELOB,TAP1,PSMA3,ANAPC11,PSMA2,PSMB4,PSMB9,UBB,PSMA6,PSMB5,DNAJC9,DNAJC19,PSME2,PSMB6,DNAJB14,UBE2L6,PSMD8,UBD,PSMC1,UBE2L3,PSME1,PSMB2,RBX1,PSMA5,PSMB1,HSPB11,PSMA4,PSMD4,HSPB1
Nucleotide Excision Repair Pathway	5.91E00	3.14E-01	NaN	POLR2G,RPA3,POLR2F,ERCC1,POLR2J,GTF2H5,RPA1,POLR2K,MNAT1,POLR2L,XPA
Interferon Signaling	5.78E00	3.06E-01	-3.317	IFIT1,IFIT3,OAS1,MX1,IFI35,IFI6,BAX,PSMB8,STAT1,TAP1,ISG15
Systemic Lupus Erythematosus Signaling	5.09E00	1.28E-01	NaN	ZMAT5,SNRPE,FCGR1A,SNRPG,PRPF4B,SNRPD1,SNRPD2,SNRPD3,LSM3,HLA-F,LSM10,FCGR1B,SNRPA1,TNFSF13B,LSM4,SNRNP40,LSM6,SNRPF,SNRNP27,IL18,LSM8,CD40,CD80,SNRPC,SNRNP25,CD72,SNRPB2,FCER1G,ZCRB1,LSM5
NER Pathway	4.51E00	1.65E-01	-2.840	POLR2F,POLE4,POLR2J,RPA1,POLR2K,MNAT1,XPA,POLR2G,CETN2,RPA3,PCNA,ERCC1,HIST1H4C,RBX1,NEDD8,GTF2H5,POLR2L
Graft-versus-Host Disease Signaling	4.46E00	2.29E-01	NaN	IL18,HLA-DOA,HLA-DRB1,CD80,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,FCER1G,HLA-DQB1,HLA-F
