© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Oxidative Phosphorylation	2.32E01	4.59E-01	-6.788	ATP5MG,NDUFB8,NDUFA1,NDUFB3,NDUFB10,ATP5MC3,NDUFA8,ATP5PF,NDUFS7,COX7C,ATP5PO,UQCR11,NDUFS5,NDUFB11,NDUFA6,NDUFB7,NDUFA12,NDUFS3,NDUFB2,NDUFA4,ATP5MC1,COX7B,ATP5PD,COX6A1,COX6C,COX5B,NDUFA2,NDUFB9,ATP5MF,NDUFB6,NDUFAB1,ATP5ME,COX4I1,NDUFS4,NDUFB4,COX17,NDUFV3,NDUFA13,UQCRB,COX11,NDUFV2,NDUFS8,NDUFA11,UQCR10,COX5A,COX7A2,NDUFA3,CYB5A,ATPAF2,UQCRQ
Mitochondrial Dysfunction	2.04E01	3.51E-01	NaN	ATP5MG,NDUFB8,NDUFA1,NDUFB3,NDUFB10,ATP5MC3,NDUFA8,ATP5PF,NDUFS7,COX7C,ATP5PO,BACE1,UQCR11,NDUFS5,NDUFB11,NDUFA6,TXN2,NDUFB7,NDUFA12,NDUFS3,NDUFB2,NDUFA4,ATP5MC1,COX7B,ATP5PD,COX6A1,COX6C,COX5B,NDUFA2,NDUFB9,ATP5MF,NDUFB6,ACO1,NDUFAB1,ATP5ME,COX4I1,NDUFS4,AIFM1,NDUFAF1,NDUFB4,COX17,GLRX2,NDUFV3,VDAC3,NDUFA13,UQCRB,FIS1,COX11,NDUFS8,NDUFV2,NDUFA11,UQCR10,COX7A2,COX5A,NDUFA3,ATPAF2,CYB5A,UQCRQ,PINK1,MAOA
Sirtuin Signaling Pathway	9.34E00	2.09E-01	3.355	PPARA,POLR2F,TIMM50,NDUFB8,NDUFA1,LDHB,NDUFB3,NDUFB10,XPC,TUBA1C,APEX1,NDUFA8,ATP5PF,SLC2A1,NDUFS7,NR1H3,TIMM8B,NDUFS5,NDUFB11,NDUFA6,NDUFB7,NDUFA12,NDUFS3,NDUFB2,NDUFA4,HIST1H1C,ATP5MC1,GADD45B,TIMM10,GADD45G,PAM16,HIF1A,NDUFA2,NDUFB9,JUN,PCK2,FOXO3,NDUFB6,NDUFAB1,NDUFS4,PPARG,NDUFAF1,NDUFB4,EPAS1,TOMM20,NDUFV3,SOD1,VDAC3,ACLY,MAP1LC3B2,NDUFA13,XPA,HIST1H1E,FOXO1,NDUFS8,NDUFV2,TOMM6,NDUFA11,TSPO,NDUFA3,TOMM5
NRF2-mediated Oxidative Stress Response	5.44E00	1.95E-01	-2.183	RAP2B,AKR7A2,RAP2A,DNAJC17,PPIB,DNAJB4,NQO2,PIK3R1,MAF,DNAJA4,GCLC,DNAJC15,HMOX1,JUN,SCARB1,DNAJC4,KEAP1,GSTM4,MRAS,TXN,CBR1,UBB,DNAJC9,FGFR1,GSTM3,DNAJC19,SOD1,GSTO1,PIK3R3,FTL,ERP29,MGST2,RBX1,PIK3R6,DNAJC14,PRKCH,HACD3,GSTP1,MGST3
HIF1α Signaling	5.33E00	2.26E-01	NaN	RAP2B,RAP2A,PIK3R1,MMP14,VEGFB,MAPK13,HIF1A,ELOB,PDGFC,LDHB,ARNT,JUN,MRAS,EGLN3,APEX1,MMP19,SLC2A5,SLC2A1,FGFR1,MMP2,MDM2,P4HTM,PIK3R3,EGLN1,SLC2A8,RBX1,PIK3R6,MMP9
Phagosome Maturation	4.67E00	2.03E-01	NaN	ATP6V0B,VPS28,RAB5B,TUBB,DYNLT1,VTI1B,CTSF,CTSD,DYNLL1,RAB7B,LAMP1,TUBA1C,RILP,ACE,ATP6V0E2,VPS18,VPS41,TUBB4B,TUBB2A,DYNLRB1,ATP6V1E1,LAMP2,CTSA,CTSL,DYNC1LI2,ATP6V1F,CTSB,CTSC,ATP6V0E1,PRDX2
Nucleotide Excision Repair Pathway	3.75E00	3.14E-01	NaN	POLR2G,POLR2I,POLR2F,RPA3,ERCC1,XPC,GTF2H5,RPA1,POLR2K,XPA,GTF2H3
Hereditary Breast Cancer Signaling	3.75E00	1.87E-01	NaN	RAP2B,RAP2A,POLR2F,GADD45B,GADD45G,PIK3R1,DDB2,CCND1,RAD50,HDAC7,XPC,MRAS,POLR2I,UBB,FGFR1,HDAC1,CDK6,SMARCE1,POLR2K,RPA1,CDK1,POLR2G,PIK3R3,SMARCA2,H2AFX,PIK3R6,BRCA2,HLTF
Macropinocytosis Signaling	3.16E00	2.07E-01	-3.606	RAP2B,ITGB1,MRC1,RAP2A,PIK3R1,FGFR1,ANKFY1,RAC1,RAB34,PDGFC,CSF1R,PIK3R3,HGF,PIK3R6,MRAS,CD14,PRKCH,ITGB5
Renal Cell Carcinoma Signaling	3.1E00	2.05E-01	-3.317	RAP2B,RAP2A,UBB,SLC2A1,PIK3R1,FGFR1,SOS2,RAC1,HIF1A,ELOB,ARNT,PIK3R3,JUN,HGF,RBX1,PIK3R6,MRAS,EGLN3
LPS/IL-1 Mediated Inhibition of RXR Function	3.03E00	1.57E-01	0.277	PPARA,APOE,HS2ST1,ABCG1,IL1R2,JUN,SCARB1,ALDH3A2,GSTM4,FABP5,HS3ST1,FABP3,IL1RAP,ALDH6A1,ALDH7A1,ACSL3,GSTM3,ACOX1,MGMT,NR1H3,ALDH9A1,GSTO1,IL18,LY96,MGST2,SULT1A1,APOC1,CPT2,CD14,SLC27A1,PLTP,CHST13,GSTP1,MGST3,MAOA
LXR/RXR Activation	2.92E00	1.82E-01	2.183	APOE,SCD,ECHS1,MSR1,SERPINF1,NR1H3,ABCG1,PCYOX1,A1BG,IL1R2,LY96,IL18,CCL2,MYLIP,APOC1,CD14,PLTP,IL1RAP,MMP9,HADH,CCL7,RBP4
Systemic Lupus Erythematosus Signaling	2.66E00	1.5E-01	NaN	RAP2B,RAP2A,ZMAT5,PIK3R1,SOS2,SNRPE,FCGR2B,LSM2,SNRPG,JUN,MRAS,LSM3,SNU13,SNRPD2,PRPF40B,LSM10,LSM4,IL10,FCGR2A,SNRPF,FGFR1,PIK3R3,IL18,PPIH,CD80,SNRPC,CD72,SNRNP25,RNU2-2P,PIK3R6,FCER1G,NFATC2,ZCRB1,LSM7,LSM5
Heme Degradation	2.56E00	7.5E-01	NaN	HMOX1,BLVRA,BLVRB
Glioma Invasiveness Signaling	2.52E00	1.97E-01	-2.324	RAP2B,RAP2A,RHOC,FGFR1,PIK3R1,MMP2,PIK3R3,RND3,RHOB,PIK3R6,MRAS,PLAU,MMP9,ITGB5,TIMP2
autophagy	2.49E00	2.1E-01	NaN	CTSD,VPS18,LAMP2,CTSA,CTSL,VPS41,WIPI1,LAMP1,CTSB,CTSC,MAP1LC3B2,ACE,CTSF
Leukotriene Biosynthesis	2.38E00	3.85E-01	-0.447	MGST2,LTC4S,GGT1,MGST3,DPEP2
HER-2 Signaling in Breast Cancer	2.36E00	1.81E-01	NaN	RAP2B,ITGB1,RAP2A,BAD,PIK3R1,FGFR1,SOS2,CDK6,MDM2,MMP2,CCND1,PIK3R3,FOXO1,PIK3R6,MRAS,PRKCH,ITGB5
NER Pathway	2.31E00	1.75E-01	-3.500	POLR2I,POLR2F,TCEA1,RPA1,POLR2K,DDB2,XPA,POLR2G,CETN2,RPA3,PCNA,ERCC1,HIST1H4C,RBX1,XPC,NEDD8,GTF2H5,GTF2H3
GADD45 Signaling	2.28E00	3.16E-01	NaN	PCNA,GADD45B,GADD45G,MAP3K4,CCND1,CDK1
Antigen Presentation Pathway	2.23E00	2.37E-01	NaN	HLA-DOA,PSMB5,HLA-DQB2,HLA-DMA,HLA-DMB,PSMB6,HLA-DQA2,HLA-DPB1,MR1
Galactose Degradation I (Leloir Pathway)	2.19E00	6E-01	NaN	GALE,GALT,GALM
Glutathione-mediated Detoxification	2.19E00	2.5E-01	-0.707	MGST2,GSTM3,LTC4S,GSTM4,HPGDS,GSTP1,GSTO1,MGST3
Formaldehyde Oxidation II (Glutathione-dependent)	2.09E00	1E00	NaN	ADH5,ESD
Aryl Hydrocarbon Receptor Signaling	2.05E00	1.55E-01	-1.897	NQO2,GSTM3,CDK6,MDM2,CCND1,ALDH9A1,GSTO1,ARNT,CTSD,NCOA7,JUN,MGST2,ALDH3A2,NEDD8,GSTM4,DHFR,NRIP1,ALDH6A1,GSTP1,MGST3,ALDH7A1,HSPB1
Actin Nucleation by ARP-WASP Complex	2.05E00	1.94E-01	-2.887	ITGB1,RAP2B,RAP2A,RHOB,RND3,RHOC,ARPC5L,BAIAP2,SOS2,WASL,MRAS,RAC1
Germ Cell-Sertoli Cell Junction Signaling	1.96E00	1.45E-01	NaN	RAP2B,RAP2A,MYO7A,PIK3R1,WASL,MAP3K4,TUBB,IQGAP1,RHOB,KEAP1,MRAS,TUBA1C,JUP,ITGB1,RHOC,TUBB4B,FGFR1,TUBB2A,RAC1,ITGA6,GSN,PIK3R3,RND3,FER,PIK3R6,A2M
Xenobiotic Metabolism Signaling	1.92E00	1.31E-01	NaN	RAP2B,RAP2A,CAMK1,NQO2,PIK3R1,HS2ST1,MAF,GCLC,MAPK13,MAP3K4,ARNT,HMOX1,KEAP1,ALDH3A2,GSTM4,MRAS,HS3ST1,CITED2,ALDH6A1,ALDH7A1,GSTM3,MGMT,FGFR1,GSTO1,ALDH9A1,ESD,PIK3R3,FTL,MGST2,SULT1A1,RBX1,PIK3R6,PRKCH,NRIP1,CHST13,SCAND1,GSTP1,MGST3,MAOA
Granulocyte Adhesion and Diapedesis	1.9E00	1.44E-01	NaN	CD99,MMP14,CCL20,CCL5,SDC3,CLDN7,CCL4L1/CCL4L2,IL1R2,HRH1,CXCL3,CCL13,CCL3L1,CCL2,CXCL1,IL1RAP,MMP19,ITGB1,ITGA6,RDX,CKLF,MMP2,IL18,CCL18,MMP9,HSPB1,CCL7
Glucocorticoid Receptor Signaling	1.88E00	1.28E-01	NaN	PRKACB,RAP2B,RAP2A,POLR2F,YWHAH,PIK3R1,SOS2,HSPA6,POMC,CCL5,MAPK13,CD163,GTF2A1,HMGB1,IL1R2,CXCL3,CCL13,JUN,CCL2,PCK2,FOXO3,CEBPA,MRAS,GTF2H5,GTF2H3,TAF12,POLR2I,CDKN1C,IL10,FGFR1,SMARCE1,RAC1,POLR2K,HSPA2,PIK3R3,POLR2G,TAF6L,SMARCA2,PIK3R6,NFATC2,PLAU,NRIP1,A2M,HLTF
Dolichyl-diphosphooligosaccharide Biosynthesis	1.88E00	3.64E-01	-2.000	ALG13,ALG3,DPM2,DPM3
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	1.84E00	2.61E-01	-2.449	DUT,NME4,NME1,NME2,DTYMK,NME6
Acute Myeloid Leukemia Signaling	1.83E00	1.63E-01	-1.941	RAP2B,RAP2A,BAD,FGFR1,PIK3R1,SOS2,TCF3,CSF1R,CCND1,EIF4EBP1,IDH1,PIK3R3,CEBPA,MRAS,PIK3R6,JUP
Stearate Biosynthesis I (Animals)	1.81E00	2.05E-01	-1.667	BDH2,ACSL3,FAM213B,SRD5A3,ACOT2,ACOT1,SLC27A1,TBXAS1,ACOT8
RhoA Signaling	1.8E00	1.53E-01	-1.698	PLXNA1,SEPT8,ARHGEF12,MYL6,NRP2,ARPC5L,SEPT7,RDX,MYL6B,SEPT11,LPAR6,RND3,BAIAP2,SEPT10,LPAR5,ARHGAP35,ARHGAP12,PIP4K2C,KTN1
Non-Small Cell Lung Cancer Signaling	1.78E00	1.69E-01	-2.309	RAP2B,RAP2A,FHIT,BAD,FGFR1,PIK3R1,SOS2,ABL1,CDK6,CCND1,PIK3R3,FOXO3,MRAS,PIK3R6
Glutathione Redox Reactions I	1.75E00	2.5E-01	-0.816	GPX3,CLIC2,MGST2,GPX1,GSTP1,MGST3
Estrogen Receptor Signaling	1.75E00	1.49E-01	NaN	POLR2I,RAP2B,TAF12,RAP2A,POLR2F,PELP1,SOS2,POLR2K,GTF2A1,POLR2G,TAF6L,PCK2,TRRAP,MRAS,MED31,GTF2H5,NRIP1,MED24,MED4,GTF2H3
VEGF Signaling	1.73E00	1.56E-01	-2.309	RAP2B,RAP2A,BAD,PIK3R1,FGFR1,SOS2,VEGFB,HIF1A,PDGFC,ELAVL1,ARNT,PIK3R3,FOXO1,FOXO3,PIK3R6,MRAS,EIF1AX
Superpathway of Serine and Glycine Biosynthesis I	1.71E00	4.29E-01	NaN	PSPH,UBAC2,SHMT1
Melanoma Signaling	1.7E00	1.8E-01	-2.530	PIK3R3,RAP2B,RAP2A,BAD,MITF,FGFR1,PIK3R1,PIK3R6,MRAS,MDM2,CCND1
IL-10 Signaling	1.69E00	1.74E-01	NaN	IL1R2,HMOX1,IL18,JUN,IL10,FCGR2A,BLVRA,BLVRB,CD14,MAPK13,FCGR2B,IL1RAP
Fatty Acid β-oxidation I	1.66E00	2.19E-01	-2.646	ACSL3,ECHS1,ECI2,SLC27A1,HSD17B4,ECI1,HADH
Iron homeostasis signaling pathway	1.65E00	1.46E-01	NaN	HAMP,ATP6V0E2,ATP6V0B,EPAS1,SLC46A1,CYBRD1,HIF1A,CD163,CIAO2A,ARNT,ATP6V1E1,HMOX1,FTL,ATP6V1F,SLC48A1,FECH,SLC40A1,ISCU,ACO1,ATP6V0E1
Methylglyoxal Degradation I	1.64E00	6.67E-01	NaN	HAGHL,HAGH
Glutathione Biosynthesis	1.64E00	6.67E-01	NaN	GCLC,GSS
Thiosulfate Disproportionation III (Rhodanese)	1.64E00	6.67E-01	NaN	MPST,TST
Oxidized GTP and dGTP Detoxification	1.64E00	6.67E-01	NaN	RUVBL2,NUDT1
Role of NFAT in Regulation of the Immune Response	1.6E00	1.35E-01	-4.491	BLNK,RAP2B,RAP2A,HLA-DOA,CD4,PIK3R1,SOS2,FCGR2B,JUN,HLA-DMA,HLA-DMB,MRAS,GNG12,FCGR2A,FGFR1,GNG2,PIK3R3,CALM1 (includes others),RCAN1,CD80,PIK3R6,FCER1G,NFATC2,PLCB3,MEF2C,GNAL
IL-8 Signaling	1.55E00	1.33E-01	-2.746	RAP2B,RAP2A,PIK3R1,VEGFB,IQGAP1,CCND1,PDGFC,EIF4EBP1,HMOX1,JUN,RHOB,MRAS,CXCL1,GNG12,ITGB5,PLD3,RHOC,FGFR1,GNG2,RAC1,MMP2,CSTB,PIK3R3,RND3,PIK3R6,PRKCH,MMP9
Airway Pathology in Chronic Obstructive Pulmonary Disease	1.53E00	3.75E-01	NaN	CXCL3,MMP2,MMP9
Granzyme A Signaling	1.53E00	2.5E-01	NaN	HIST1H1C,NME1,HIST1H1E,HMGB2,APEX1
Epithelial Adherens Junction Signaling	1.53E00	1.4E-01	NaN	RAP2B,RAP2A,MYL6,TUBB4B,ARPC5L,MYO7A,FGFR1,TUBB2A,WASL,RAC1,MYL6B,IQGAP1,TCF3,TUBB,KEAP1,HGF,FER,BAIAP2,MRAS,TUBA1C,JUP
Aldosterone Signaling in Epithelial Cells	1.52E00	1.37E-01	-3.162	ICMT,DNAJC17,DNAJC9,DNAJB4,SLC12A2,PIK3R1,FGFR1,DNAJC19,SOS2,HSPA6,DNAJC25,DNAJC15,HSPA2,PIK3R3,DNAJC4,HSPE1,HSPB11,PIK3R6,DNAJC14,PLCB3,PRKCH,PIP4K2C,HSPB1
ATM Signaling	1.52E00	1.53E-01	-1.000	GADD45B,GADD45G,TOPBP1,ABL1,MDM2,MAPK13,CDK1,RAD50,RNF168,JUN,CBX1,BRAT1,SMC2,H2AFX,TRRAP
