© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Crosstalk between Dendritic Cells and Natural Killer Cells	1.41E01	2.7E-01	NaN	RELA,IL2RG,IL3RA,HLA-A,ACTB,CD69,HLA-B,TNFSF10,TLN1,NFKB2,NFKB1,ITGAL,CSF2RB,CAMK2D,CD40,ICAM3,HLA-C,FSCN1,LTBR,TNFRSF1B,HLA-F,ACTG1,HLA-E,HLA-DRB5
EIF2 Signaling	1.22E01	1.54E-01	-3.771	RPL11,RAP1B,RPL22,RPS3A,ATF5,EIF4A2,RPS11,RPL7,EIF1,RPL18A,EIF4G2,RPS13,RPL23A,RPS9,ATF4,RPS2,RPS3,EIF1AY,RPS24,PABPC1,RPL32,RPL4,ACTB,RPL23,RPL28,RPL9,RPS6,RPS4Y1,WARS,RPS16,RPS26,HNRNPA1,PPP1R15A,RPL37,RPL38
Antigen Presentation Pathway	1.17E01	3.95E-01	NaN	PSMB9,CALR,HLA-A,PDIA3,HLA-B,CIITA,PSMB8,HLA-DQB1,TAP1,HLA-C,HLA-F,TAP2,TAPBP,HLA-DRB5,HLA-E
Neuroinflammation Signaling Pathway	8.92E00	1.16E-01	-3.212	RELA,TGFBR1,ICAM1,HLA-A,HLA-B,CX3CR1,JAK2,HLA-DQB1,NFKB1,GRINA,CXCL10,SOD2,TICAM1,CYBB,CASP1,ATF4,STAT1,BIRC3,MYD88,GLS,CREBBP,IL6R,MAPK6,NFKB2,ATF2,IRF7,CD40,HLA-C,NCF2,IL1B,CFLAR,JAK3,SLC6A12,HLA-DRB5,P2RX7,IRAK2
Tec Kinase Signaling	8.47E00	1.47E-01	-1.606	RELA,SRC,STAT6,ACTB,TNFSF10,NFKB2,STAT3,JAK2,NFKB1,GNAI2,GNB1,RHOQ,GNA15,WAS,RHOA,GNB2,LYN,HCK,STAT2,GNA13,JAK3,STAT1,ACTG1,FGR,PRKCB
Type I Diabetes Mellitus Signaling	8.45E00	1.8E-01	-0.832	RELA,SOCS3,MAP2K7,HLA-A,MYD88,HLA-B,NFKB2,HLA-DQB1,JAK2,NFKB1,IRF1,HLA-C,IL1B,MAP2K3,TNFRSF1B,HLA-F,STAT1,NFKBIB,HLA-E,HLA-DRB5
Th1 Pathway	8.38E00	1.63E-01	-0.688	RUNX3,SOCS3,ICAM1,HLA-A,HLA-B,IL6R,IL27,LGALS9,STAT3,HLA-DQB1,JAK2,NFKB1,IRF1,NOTCH2,CD40,IL10RA,CD274,IL27RA,JAK3,STAT1,NOTCH1,HLA-DRB5
Th1 and Th2 Activation Pathway	8.36E00	1.41E-01	NaN	RUNX3,STAT6,SOCS3,IL2RG,ICAM1,TGFBR1,HLA-A,IL6R,HLA-B,IL27,LGALS9,STAT3,JAK2,HLA-DQB1,NFKB1,SPI1,IRF1,NOTCH2,CD40,IL10RA,CD274,IL27RA,JAK3,STAT1,NOTCH1,HLA-DRB5
Dendritic Cell Maturation	7.87E00	1.33E-01	-3.800	RELA,ICAM1,PDIA3,HLA-A,HLA-B,HLA-DQB1,JAK2,NFKB1,ATF4,LTBR,NFKBIB,STAT1,TNFRSF1B,MYD88,RELB,CREBBP,NFKB2,ATF2,CD40,IL1RN,HLA-C,FSCN1,IL1B,STAT2,IRF8,HLA-DRB5
Ephrin Receptor Signaling	7.36E00	1.34E-01	-3.266	RAP1B,RAPGEF1,ACTR2,SRC,CFL1,ARPC1B,CREBBP,LIMK2,STAT3,JAK2,GRINA,ATF2,GNB1,GNAI2,ACTR3,SDCBP,ABI1,GNA15,CDC42,WAS,RHOA,GNB2,ATF4,GNA13
iNOS Signaling	7.29E00	2.67E-01	-0.632	RELA,MYD88,CREBBP,NFKB2,HMGA1,JAK2,NFKB1,STAT1,JAK3,NFKBIB,IRF1,IRAK2
