lung_t_cell_0	lung_t_cell_1	lung_t_cell_2	lung_t_cell_3	lung_t_cell_4
FCN1	1.74575411593303	0	0	0	0
EREG	1.49985857223117	0	0	0	0
VCAN	1.59364813357106	0	0	0	0.350221704868934
CFP	1.65388161790259	0.31867974772415	0	0	0
FCAR	1.92633224459964	0	0	0	0
THBS1	2.21588234250706	0	0	0	0
BTG1	0.945944513635109	0	0	0	0
SERPINB2	2.76083039226903	0	0	0	0
CD300E	1.18296581716186	0.602005777336108	0	0	0
CD55	1.23222384193647	0	0	0	0
TIMP1	1.07828715547817	0	0	0	0
PTX3	2.58335647328033	0	0	0	0
TNFRSF1B	1.1954802895795	0	0	0	0
SAMSN1	1.04927350185957	0	0	0	0
G0S2	1.02471545683986	0	0	0	0
PABPC1	0.771074915007645	0	0	0	0
EHD1	1.28989535740785	0.35763898153837	0	0	0
MAP4K4	1.81078163689557	0	0	0	0
AQP9	1.33705093119165	0	0	0	0
SLC2A3	1.00248193247542	0	0	0	0
RPLP1	0.419535232190642	0	0	0.436044153472031	0
IL1B	0.808547595299563	0	0	0	0
NLRP3	1.49170404121192	0	0	0	0
RPL18A	0.681017969312508	0	0	0	0
LYZ	0.700113146165849	0	0	0	0
NEAT1	0.578798479803559	0	0	0	0
SULF2	1.13587245626938	0	0	0	0
BASP1	1.61310486158736	0	0	0	0
PLAUR	0.698253178514646	0	0	0	0
ATP2B1	1.05138903738366	0	0	0	0
COTL1	0.618310871474189	0.518290751086678	0	0	0
CD52	1.01616384133894	0	0	0	1.15431795525982
PDE4B	0.906521004038111	0	0	0	0
PNRC1	0.591564273952187	0	0	0	0
S100A12	2.14515305462396	0	0	0	0
S100A8	1.11679432698436	0.841965992458641	0	0	0
CDC42EP2	2.03294415668919	0	0	0	0
PDE4D	1.88362870856505	0	0	0	0
SRGN	0.468048823344223	0.284518124552458	0	0	0
ECE1	1.64425943477713	0	0	0	0
LDLR	1.75672534131071	0	0	0	0
C5AR1	0.89537955106514	0	0	0	0
LYST	1.31400384392555	0	0	0	0
ICAM3	1.4643755870285	0	0	0	0
SLC2A6	1.21395518428196	0.72720293450308	0	0	0
RPL13	0.519457651859867	0	0	0	0
RPL21	0.515478865532525	0	0	0	0
FYN	1.41861561686416	0	0	0	0
RPS2	0.535505154059752	0	0	0	0
RPS11	0.524751994576935	0	0	0	0
RPL37	0.721220728348313	0	0	0	0
SLC11A1	0.955588480082408	0	0	0	0.402617689702082
RPL13A	0.518654039452144	0	0	0	0
S100A9	1.15182230583299	0.552533388857956	0	0	0
RPS14	0.615345431147967	0	0	0	0
TPT1	0.458805427292921	0	0	0	0
CCDC69	1.23611879704448	0	0	0	0
LINC00936	1.16038772683156	0	0	0	0
AREG	0.889883433241106	0	0	0	0
CDA	1.80155254652389	0	0	0	0
CYP1B1	1.83653377099205	0	0	0	0
LUCAT1	1.22655307876149	0	0	0	0
RPS9	0.525530059717417	0	0	0	0
NAMPT	0.531987653142396	0.279432059946491	0	0	0
MXD1	0.791435391703724	0.323112979791613	0	0	0
PDE4A	0.897491738871175	0	0	0	0
RPL7	0.575101767047375	0	0	0	0
RPS3A	0.567682076658925	0	0	0	0
RPS18	0.440350288712517	0	0	0	0
NFKB1	0.880798092859225	0	0	0	0
LILRA5	1.42718522146349	0	0	0	0
FOSL2	0.853789448139537	0	0	0	0
FGR	0.766688149504656	0.696788317036441	0	0	0
NDEL1	1.33203961507266	0	0	0	0
LYPD3	1.95673570493609	0	0	0	0
PPIF	0.905042081347052	0.402320294410749	0	0	0
RPL34	0.64070807012768	0	0	0	0
RPLP2	0.570486331583613	0	0	0	0
RPL18	0.633441839991714	0	0	0	0
ITGAX	0.952046285430718	0	0	0	0
RPL28	0.480998602129389	0	0	0	0
BCL2A1	0.571001792120968	0.280738920801515	0	0	0
AMICA1	0.791894107967291	0	0	0	0
RPL23A	0.586907073460615	0	0	0	0
OXSR1	1.06923012209961	0	0	0	0
ACSL1	0.967924560732367	0.334712072007278	0	0	0
C19orf38	1.42048710250379	0	0	0	0
ANPEP	1.06219220904078	0	0	0	0.540527265316274
RPL27A	0.510924519551938	0	0	0	0
RPL23	0.538963616795895	0	0	0	0
EEF1A1	0.368902497454018	0	0	0	0
SERPINB9	0.667834726838148	0.288016691762564	0	0	0
TET2	1.23582313092151	0	0	0	0
CSF3R	1.33619124218304	0	0	0	0
RPS16	0.53796068866826	0	0	0	0
MTF1	1.40675669208995	0	0	0	0
PTGS2	0.931902587194156	0	0	0	0
RPL32	0.524860309584641	0	0	0	0
MEFV	1.00065631060633	0.651049657691778	0	0	0
BCL3	0.790116539509094	0.34652206218139	0	0	0
CD44	0.525999406001194	0	0	0	0
RPS12	0.564952961102119	0	0	0	0
RPS27	0.497865256389535	0	0	0	0
MAP2K3	0.818267206056507	0	0	0	0
TKT	0.88314730177831	0	0	0	0.339972805007802
CLEC12A	0.797870284689405	0	0	0	0
RPS28	0.551901047375973	0	0	0	0
RPL41	0.486851692501412	0	0	0	0
CCL20	0.819168450663867	0	0	0	0.564685262055087
IRAK3	1.14744736647824	0	0	0	0
RPS13	0.600132677226513	0	0	0	0
SLC36A4	1.34635020138228	0	0	0	0
RILPL2	0.869726952745263	0	0	0	0
FLNA	0.618005547469091	0.413301876776492	0	0	0
RPS24	0.675555597297316	0	0	0	0
CKAP4	1.37330153136391	0	0	0	0
RPL15	0.409244872520863	0	0	0	0
RPL37A	0.55908688363227	0	0	0	0
LOC731424	0.961191947193899	0.524516127057142	0	0	0
RPL6	0.703050187542433	0	0	0	0
KDM6B	0.614670420879839	0.466597298351766	0	0	0
JARID2	1.24430372147224	0	0	0	0
NFKBIZ	0.519123112403896	0	0	0	0
AMPD2	1.26200368882937	0	0	0	0
RPL39	0.639266781508585	0	0	0	0
RPL13AP5	0.545737553365031	0	0	0	0
EZR	0.789706100269468	0	0	0	0
IL1A	1.48397782231302	0	0	0	0
RPL31	0.564846956486575	0	0	0	0
DENND5A	1.03146334552208	0.332941337715622	0	0	0
RPL12	0.638805955788049	0	0	0	0
RPS6	0.439290841018935	0	0	0	0
SLC25A6	0.737788671446731	0	0	0	0
FAM65B	0.873704729599362	0.486890892644606	0	0	0
MALT1	1.07041124957548	0	0	0	0
LPCAT1	1.04312385503662	0	0	0	0
ATP13A3	0.732434373592255	0	0	0	0
TNFAIP3	0.632106074191457	0	0	0	0
