lung_t_cell_0	lung_t_cell_1	lung_t_cell_2	lung_t_cell_3	lung_t_cell_4	lung_t_cell_5	lung_t_cell_6
CD8A	1.8739446698137	0	0	0	0	0	0
CD8B	2.17284435169873	0	0	0	0	0	0
CCL5	0.979763710317998	0	0.718653827241517	0	0	0	0.423243675200124
GZMK	2.25077822873466	0	0	0	0	0	0
CRTAM	1.60934199569809	0	0	0	0	0	1.77814177217495
ITM2C	1.37289421397754	0	0	0	0	0	0
CST7	0.25076666493726	0	1.66596938829594	0	0	0	0.344959095490269
CCL4L1	1.01228373950962	0	0.928443263682807	0	0	0	0.642281164428156
CXCR4	0.396838207114126	0	0	0	0	0	0
LAG3	1.09418110358272	0	0	0	0	0	0
DUSP2	0.471696170686441	0	0.359325354151178	0	0	0	0.386328926724576
GZMA	0.523167779540246	0	0.735027028428732	0	0	0	1.494913385547
TARP	0.590695014946578	0	1.41856065615008	0	0	0	0.430121763453069
AOAH	0.577381269469257	0	1.21701587714997	0	0	0	0
CTSW	0.287198407755564	0	1.66974780446467	0	0	0	1.31115731259635
YPEL5	0.358849558296258	0	0	0	0	0	0
ZFP36	0.40868303948636	0	0	0	0	0	0
MYADM	0.491562942706496	0	0	0	0	0	0
TUBA4A	0.549594620677181	0	0	0	0	0	0
ID2	0.452899289446413	0	0.334644353648367	0	0	0	0
UBE2S	0.500798034104208	0	0	0	0	0	0
NR4A2	0.395112983255588	0	0.521368138695196	0	0	0	0.630677201606689
RGCC	0.338301983537818	0	0	0	0	0	0
TSPYL2	0.489072350686192	0	0	0	0	0	0
FOSB	0.540856120053868	0	0	0	0	0	0
IFNG	1.07744341661187	0	0.520925099430157	0	0	0	0.902494220888144
HEXIM1	0.558193259399441	0	0	0	0	0	0
AMICA1	0.742827082884652	0	0	0	0	0	0
H3F3B	0.256551781642973	0	0	0	0	0	0
ZFP36L2	0.268251011144819	0	0	0	0.489944235589735	0	0
NR4A3	0.504263028336965	0	0.463007795505127	0	0	0	0.506836177505286
TC2N	0.739254946342497	0	0	0	0	0	0
SLC7A5	0.732404138851295	0	0	0	0.400311112384834	0	0
SNORD99	0.772748169440573	0	0	0	0	0	0
DUSP4	0.346117326210418	0	0	1.23636112264159	0.666158460103854	0	0
JMJD6	0.553772957349939	0	0	0	0	0	0
RUNX3	0.364485164320175	0	0.536434342291243	0	0	0	0
CBLB	0.54218122706047	0	0	0	0	0	0
HSPA5	0.440335311506374	0	0	0	0	0	0
TBCD	1.12898023773922	0	0	0	0	0	0
LOC284454	0.499728517466763	0	0	0	0	0	0
ZNF331	0.26458066159485	0	0	0	0	0	0
OASL	0.597300284066004	0	0	0	0	0	0.367311025877513
GZMM	0.492545189191519	0	1.01432716088923	0	0	0	0
SNHG12	0.659740649251781	0	0	0	0	0	0
CD27	0.367156227611696	0	0	1.01905023736963	0	0	0
GGA2	0.669133291057834	0	0	0	0	0	0
PMEPA1	0.852189310565287	0	0	0	0	0	0
CITED2	0.507847085299396	0	0	0	0	0	0
APOBEC3G	0.490725700816204	0	0.317149101917062	0	0	0.574603410122823	0.983934222688553
ITGAE	1.10876150229888	0	0	0	0	0	0
ARHGAP26	0.42258965133041	0	0	0	0	0	0
RALGAPA1	0.413351105769431	0	0	0	0	0	0
GABARAPL1	0.498536542966256	0	0	0	0	0	0
SRSF2	0.403562469861452	0	0	0	0	0	0
SLC38A2	0.339515196572218	0	0	0	0	0	0
MPZL3	0.550710635253681	0	0	0	0	0	0
TIPARP	0.437806250382436	0	0	0	0	0	0
TOB1	0.263089095159938	0	0	0.274343186076524	0	0	0
SH2D1A	0.542693459968202	0	0	0	0	0	0
HCST	0.254902297732599	0	0.594672249367602	0	0	0	0.418172290273995
SYTL3	0.290913756853294	0	0.930577292052801	0	0	0	0
